detail_status,target_class,second_half_goals,matches,share_of_unique_matches
FETCHED,0,0,10780,8.198
FETCHED,1,1,16210,12.3274
FETCHED,2_PLUS,2,12816,9.7463
FETCHED,2_PLUS,3,6443,4.8998
FETCHED,2_PLUS,4,2570,1.9544
FETCHED,2_PLUS,5,739,0.562
FETCHED,2_PLUS,6,175,0.1331
FETCHED,2_PLUS,7,43,0.0327
FETCHED,2_PLUS,8,11,0.0084
FETCHED,2_PLUS,9,1,0.0008
FETCHED,2_PLUS,10,1,0.0008
FETCHED,2_PLUS,12,2,0.0015
PARTIAL,NOT_AVAILABLE,,11,0.0084
SKIPPED_NO_DATA,NOT_AVAILABLE,,5,0.0038
SKIPPED_NO_HALFTIME,NOT_AVAILABLE,,81689,62.1228
