date,feed_rows,unique_matches,next_day_rows,hz_rows,no_hz_rows,no_hz_unique,unknown_rows,hz_unique,first_observed_hz_unique,countries,leagues,estimated_full_catalog_bytes,estimated_full_archive_bytes,estimated_full_total_bytes
2026-07-01,29,29,8,15,14,14,0,15,15,12,14,54338,1347431,1401769
2026-07-02,38,38,8,16,22,22,0,16,11,13,16,71202,988116,1059317
2026-07-03,60,60,9,25,35,35,0,25,19,18,24,112424,1706746,1819169
2026-07-04,188,188,30,65,123,123,0,65,56,22,40,352261,5030408,5382668
2026-07-05,155,155,18,59,96,96,0,59,39,23,38,290428,3503320,3793747
2026-07-06,35,35,9,25,10,10,0,25,10,11,16,65580,898287,963868
2026-07-07,31,31,5,12,19,19,0,12,8,6,11,58086,718630,776715
2026-07-08,39,39,11,21,18,18,0,21,16,10,15,73075,1437259,1510335
2026-07-09,43,43,2,16,27,27,0,16,5,6,10,80570,449144,529714
2026-07-10,53,53,9,18,35,35,0,18,16,15,20,99308,1437259,1536567
2026-07-11,195,195,30,67,128,128,0,67,59,24,39,365377,5299894,5665271
2026-07-12,160,160,12,76,84,84,0,76,46,24,38,299796,4132121,4431917
2026-07-13,32,32,10,15,17,17,0,15,5,14,20,59959,449144,509103
2026-07-14,64,64,7,13,51,51,0,13,10,11,18,119919,898287,1018206
2026-07-15,58,58,15,22,36,36,0,22,19,8,14,108676,1706746,1815422
2026-07-16,76,76,12,33,43,43,0,33,19,15,23,142403,1706746,1849149
2026-07-17,112,112,28,50,62,62,0,50,39,23,32,209857,3503320,3713177
2026-07-18,250,250,35,107,143,143,0,107,84,32,55,468432,7545612,8014043
2026-07-19,113,113,12,61,52,52,0,61,30,25,34,211731,2694861,2906592
2026-07-20,44,44,7,20,24,24,0,20,13,17,23,82444,1167773,1250217
2026-07-21,86,86,16,24,62,62,0,24,23,17,22,161140,2066060,2227201
2026-07-22,110,110,37,58,52,52,0,58,48,16,25,206110,4311778,4517888
2026-07-23,113,113,14,66,47,47,0,66,31,11,19,211731,2784690,2996421
2026-07-24,127,127,29,59,68,68,0,59,46,34,52,237963,4132121,4370084
2026-07-25,436,436,74,143,293,293,0,143,125,45,87,816945,11228589,12045534
2026-07-26,327,327,29,166,161,161,0,166,111,47,82,612709,9970987,10583696
2026-07-27,91,91,14,46,45,45,0,46,26,29,48,170509,2335547,2506056
2026-07-28,88,88,22,29,59,59,0,29,22,19,33,164888,1976232,2141120
2026-07-29,117,117,28,45,72,72,0,45,33,15,27,219226,2964347,3183574
2026-07-30,116,116,18,51,65,65,0,51,32,13,24,217352,2874519,3091871
2026-07-31,159,159,32,63,96,96,0,63,51,44,69,297923,4581264,4879187
2026-08-01,459,459,70,159,300,300,0,159,142,56,101,860041,12755677,13615718
2026-08-02,341,341,27,165,176,176,0,165,113,57,94,638941,10150644,10789585
2026-08-03,118,118,18,45,73,73,0,45,28,41,58,221100,2515204,2736304
2026-08-04,86,86,20,34,52,52,0,34,26,24,37,161140,2335547,2496687
2026-08-05,131,131,35,58,73,73,0,58,44,18,31,245458,3952463,4197922
2026-08-06,111,111,17,60,51,51,0,60,35,18,29,207984,3144005,3351989
2026-08-07,187,187,36,76,111,111,0,76,65,55,85,350387,5838866,6189253
2026-08-08,665,665,67,214,451,451,0,214,195,66,124,1246028,17516599,18762627
2026-08-09,401,401,26,199,202,202,0,199,156,64,111,751364,14013279,14764643
2026-08-10,93,93,14,43,50,50,0,43,24,37,50,174257,2155889,2330146
2026-08-11,139,139,22,36,103,103,0,36,30,23,36,260448,2694861,2955309
2026-08-12,103,103,31,48,55,55,0,48,35,16,30,192994,3144005,3336999
2026-08-13,103,103,17,50,53,53,0,50,31,12,21,192994,2784690,2977684
2026-08-14,204,204,27,83,121,121,0,83,73,59,96,382240,6557496,6939736
2026-08-15,695,695,84,244,451,451,0,244,229,69,139,1302240,20570775,21873015
2026-08-16,479,479,38,213,266,266,0,213,157,72,127,897515,14103108,15000623
2026-08-17,134,134,18,60,74,74,0,60,36,47,64,251079,3233834,3484913
2026-08-18,138,138,15,48,90,90,0,48,40,28,43,258574,3593148,3851723
2026-08-19,147,147,47,64,83,83,0,64,53,29,47,275438,4760922,5036360
2026-08-20,141,141,19,75,66,66,0,75,35,24,36,264195,3144005,3408200
2026-08-21,218,218,28,93,125,125,0,93,83,63,102,408472,7455783,7864256
2026-08-22,722,722,81,272,450,450,0,272,255,75,149,1352831,22906322,24259152
2026-08-23,454,454,32,240,214,214,0,240,180,73,130,850672,16169168,17019840
2026-08-24,131,131,19,67,64,64,0,67,46,42,62,245458,4132121,4377579
2026-08-25,164,164,14,56,108,108,0,56,46,33,48,307291,4132121,4439412
2026-08-26,208,208,25,56,152,152,0,56,48,29,50,389735,4311778,4701513
2026-08-27,100,100,13,64,36,36,0,64,48,20,32,187373,4311778,4499151
2026-08-28,232,232,32,107,125,125,0,107,100,64,105,434705,8982871,9417576
2026-08-29,697,697,67,262,435,435,0,262,243,73,142,1305988,21828377,23134364
2026-08-30,518,518,34,228,290,290,0,228,174,77,133,970590,15630196,16600786
2026-08-31,246,246,21,83,163,163,0,83,59,59,81,460937,5299894,5760831
